LithologyCode,LithNumber,OldIDNumber,LAT,NS,LONG,EW,Continent,Country,GeogComments,start,end,LMU,Period,Stage,AgeComments,Lithology,Formation,LithComments,PrimaryReference,SeeAlso,LocalURN
K,401,K5424,37,N,-120,W,North America,United States,California:San Joaquin Valley ,113,89.8,Upper,Cretaceous,,basal Late Cretaceous,Kaolinites,,abundant kaolinite,Weaver(1989  p.655),,789
K,402,K5425,39,N,-105,W,North America,United States,Colorado ,113,89.8,L - U?,Cretaceous,,mid-Cretaceous,Kaolinites,,kaolins,Patterson(1967  pp. 134-135),,790
K,403,K5426,26,N,-82,W,North America,United States,Florida:SouthFlorida ,113,89.8,L - U?,Cretaceous,,,Kaolinites,Tuscaloosa,subsurface,Weaver Stevenson(1971),,791
K,404,K5427,33,N,-82,W,North America,United States,Georgia & South Carolina,113,89.8,L - U?,Cretaceous,,,Kaolinites,Tuscaloosa,kaolin deposits,Kesler(1951),see also Dombrowski(1993);Nystrom Willoughby(1982),792
K,405,K5428,32.5,N,-85,W,North America,United States,Georgia & South Carolina:near Columbia,113,89.8,L - U?,Cretaceous,,,Kaolinites,beneath the Tuscaloosa Frm,kaolinitic laterite,Sigleo Reinhardt(1988),,793
K,406,K5429,42,N,-95,W,North America,United States,Iowa:western Iowa,113,89.8,Upper,Cretaceous,,,Kaolinites,Dakota,,Witzke Ludvigson(1994),,794
K,407,K5430,39,N,-100,W,North America,United States,Kansas,113,89.8,L  - U,Cretaceous,,mid-Cretaceous,Kaolinites,,kaolins,Patterson(1967  pp. 134-135),,795
K,408,K5431,39,N,-98,W,North America,United States,Kansas:north-central Kansas,113,89.8,Upper,Cretaceous,,,Kaolinites,Terra Cotta Clay and Janssen Clay Members of the Dakota Frm,both of which are high kaolinite,Franks(1966),see also Hamilton(1994),796
K,409,K5431.1,41.5,N,-70,W,North America,United States,Massachusetts:Nantucket,113,89.8,Upper,Cretaceous,beneath Cenomanian,,Kaolinites,,kaolin-rich beds and a saprolitic  kaolin-rich unit beneath fossiliferous Cennom.  on top of an older basalt from a well,Folger et al.(1978),,797
K,410,K5432,47,N,-95,W,North America,United States,Minnesota,113,89.8,Upper,Cretaceous,Cemomanian,,Kaolinites,,kaolins  interbedded with lignites;(Parham(1970) see also Austin(1970)  gibbsite and boehmite in low percentage,Ager(1993  p. 54  Fig. 4.8),see also Murray Patterson(1975) Parham(1970) Setterholm(1994);Witzke Ludvigson(1994),798
K,411,K5433,49,N,-96,W,,,,113,89.8,,,,,Kaolinites,,,,,799
K,412,K5434,41,N,-100,W,North America,United States,Nebraska,113,89.8,L  - U,Cretaceous,,mid-Cretaceous,Kaolinites,,,Patterson(1967  pp. 134-135),,800
K,413,K5435,40,N,-74.5,W,North America,United States,New Jersey Delaware and Long Island NY:from Delaware north to Long Island,113,89.8,L - U?,Cretaceous,,,Kaolinites,Raritan,abundant kaolinite in the nonmarine parts,Groot Glass(1960),,801
K,414,K5436,36,N,-103,W,North America,United States,New Mexico:Clayton ,113,89.8,L - U?,Cretaceous,,,Kaolinites,,sedimentary kaolinite,Murray Patterson(1975),see also Glasssmire(1957),802
K,415,K5439,37,N,-104.5,W,North America,United States,New Mexico:Raton region,113,89.8,L - U?,Cretaceous,,,Kaolinites,,tonstein,Burger(1978-1980),,803
K,416,K5440,41,N,-73.5,W,North America,United States,New York:Long Island,113,89.8,Upper,Cretaceous,probably Cenomanian,,Kaolinites,,heavily kaolinized crystalline bedrock with a little associated gibbsite,Liebling(1973),see also de Laguna(1963),804
K,417,K5441,34.5,N,-79,W,North America,United States,North and South Carolina:Cape Fear area,113,89.8,Upper,Cretaceous,Cenomanian,,Kaolinites,Middendorf(Tuscaloosa),,Heron Wheeler(1964),see also Heron(1960),805
K,418,K5442,36,N,-79,W,North America,United States,North and South Carolina:Cape Fear area,113,89.8,Upper,Cretaceous,Cenomanian,,Kaolinites,Middendorf(Tuscaloosa),,Heron Wheeler(1964),,806
K,419,K5412.1,33.5,N,-82,W,North America,United States,North and South Carolina:Aiken County South Carolina,113,89.8,Upper,Cretaceous,,,Kaolinites,,kaolin,Ntstrom Willoughby(1982),,807
K,420,K5443,48,N,-97,W,North America,United States,North Dakota:adjacent North Dakota(Grand Forks Traill Cass and Richland Counties),113,89.8,Upper,Cretaceous,Cenomanian,,Kaolinites,basal Minnesota,subsurface,Parkham(1970  p. 47),,808
K,421,K5444,45,N,-97,W,North America,United States,South Dakota:easternmost South Dakota,113,89.8,Upper,Cretaceous,Cenomanian,,Kaolinites,Minnesota,subsurface,Parkham(1970  p. 47),,809
K,422,K5445,33,N,-97,W,North America,United States,Texas,113,89.8,Upper,Cretaceous,,,Kaolinites,Lewisville Member of the Woodbine Frm,kaolinitic sediments,Hawkins et al.(1974),,810
K,423,K5446,38,N,-112,W,North America,United States,Utah:southern Utah,113,89.8,Upper,Cretaceous,early Turonian,,Kaolinites,,marine kaolinite of detrital orgin,Sethi Leithold(1994),,811
K,424,K5447,39,N,-112,W,North America,United States,Utah:central Utah,113,89.8,L - U?,Cretaceous,,,Kaolinites,Ferron Sandstone Member of the Mancos Shale,,Ryer et al.(1980),,812
K,425,K5448,41,N,-106,W,North America,United States,Wyoming:Washakie Basin,113,89.8,Upper,Cretaceous,,,Kaolinites,,nearshore deposits,Weaver(1961),,813
K,426,K5450,43,N,-108,W,North America,United States,Wyoming:Sunnyside Mine Thermopolis,113,89.8,L - U?,Cretaceous,,,Kaolinites,,tonstein,Burger(1978-1980),,814
L,427,L5451.1,14,N,40,E,Africa,Ethiopia,,113,89.8,L - U?,Cretaceous,,possible Cretaceous age,Laterites,top of the Amba Aradan Beds,lateritic beds,Beyth(1973b),,815
L,428,L5454,44,N,4.5,E,Europe,France,,113,89.8,Upper,Cretaceous,pre-Cenomanian,,Laterites,,lateritic weathering,Parron Nahon(1980),see also Parron Triat(1977),816
L,429,L5454.1,34.5,N,-88,W,North America,United States,Alabama:Shady Grove and Seven Pines,113,89.8,L - U?,Cretaceous,,,Laterites,Tuscaloosa,lateritic kaolinitic hematite glaebule containig  tropically weathered rock,Sigleo Reinhardt(1988),,817
L,430,L5454.2,32.5,N,-85,W,North America,United States,Georgia:Columbia,113,89.8,L - U?,Cretaceous,,,Laterites,Tuscaloosa,lateritic kaolinitic hematite glaebule containig  tropically weathered rock,Sigleo Reinhardt(1988),,818
L,431,L5454.3,41,N,-100,W,North America,United States,Nebraska:eastern Nebraska,113,89.8,Upper,Cretaceous,,,Laterites,middle Dakota,plinthic paleosols,Joeckel(1987 1991b),,819
H,432,H5455,53,N,-120,W,North America,Canada,British Columbia,113,89.8,Lower,Cretaceous,Albian,,Humid Soils,,humid type paleosols,Leckie et al.(1989),,820
PA,433,Pa5458,41,N,-74.5,W,North America,United States,New Jersey:Magothy,113,89.8,L - U?,Cretaceous,,,Palms,,exclusive of Nypa,Daghlian(1981),,821
CR,434,Cr5460,-20,S,45,E,Africa,Madagascar,,113,89.8,Upper,Cretaceous,,,Crocodilians,,,Blanc(1972),,822
CR,435,Cr5461,47,N,65,E,Asia,C.I.S.(fmr USSR),Kazakhstan,113,89.8,Upper,Cretaceous,Turonian-Santonian,,Crocodilians,,,Efimov(1975),,823
CR,436,Cr5461.1,37,N,141,E,Asia,Japan ,,113,89.8,Upper,Cretaceous,Cenomanian,,Crocodilians,Mifune Group,crocodilian teeth,Matsukawa Obata(1994),,824
CR,437,Cr5462,44,N,110,E,Asia,Mongolia,,113,89.8,Upper,Cretaceous,,,Crocodilians,,,Osmolska(1972),,825
CR,438,Cr5463,57,N,14,E,Europe,Sweden,Scania,113,89.8,Upper,Cretaceous,Senonian,,Crocodilians,,,Pesson(1959),,826
CR,439,Cr5464.1,79.75,N,-91,W,North America,Canada,Arctic:Axel Heiberg Island,113,89.8,Upper,Cretaceous,Turonian-Coniacian,,Crocodilians,,champsosaur-are not crocodilians but overall morphology suggests that they had similar environmental requirements,Tarduno et al.(1998),,827
CR,440,Cr5464.2,-39,S,-68,W,South America,Argentina,Neuquen  ,113,89.8,L - U?,Cretaceous,,,Crocodilians,,,Gasparini(1981),,828
E,1,E4616,-15,S,10,E,Africa,Angola,extending fm Cameroun to Angola and south,145,113,Lower,Cretaceous,,,Evaporites,,,De Ruiter(1979),,829
E,2,E4616.1,-5,S,12,E,Africa,Angola,1.Mocamedes 2. Lower Congo Basins,145,113,Lower,Cretaceous,(1 2)Necomian (2)Aptian,,Evaporites,,,Coward et al.(2000),Harris(2000) cites the Aptian Loeme Evaporite,830
E,3,E4616.2,-2,S,8,E,Africa,Angola,Gabon Basin,145,113,Lower,Cretaceous,Aptian,,Evaporites,,,Coward et al.(2000),,831
E,4,E4616.3,4,N,8,E,Africa,Angola,Douala Basin,145,113,Lower,Cretaceous,Aptian,,Evaporites,,,Coward et al.(2000),,832
E,5,E4616.4,12,N,13,E,Africa,Angola,Kwanza Basin,145,113,Lower,Cretaceous,Apt.-Turonian,,Evaporites,,also  Quissonde Evaporite,Katz  Mello(2000),,833
E,6,E4617,3,N,10,E,Africa,Cameroon,coastal from Cameroun south ,145,113,Lower,Cretaceous,,,Evaporites,,,De Ruiter(1979),,834
E,7,E4618,-5,S,11,E,Africa,Congo,coastal from Cameroun to Angola Gabon,145,113,Lower,Cretaceous,,,Evaporites,,,De Ruiter(1979),,835
E,8,E4628,0,N,22,E,Africa,D. Rep of Congo,Equateur and Kasai Provinces,145,113,Lower,Cretaceous,,or U. Jurassic,Evaporites,,Analcime bearing,Vanderstappen Verbeek(1959),,836
E,9,E4619,5,N,42,E,Africa,Ethiopia,Ogaden region,145,113,Lower,Cretaceous,,,Gypsum,Main Gypsum,,Barnes(1976),Merla et al.(1979) cites the Ferfer Gypsum,837
E,10,E4620,-1,S,9,E,Africa,Gabon,coastal fr Cameroun to Angola  incl Gabon,145,113,Lower,Cretaceous,,,Evaporites,,Halite (also points south),De Ruiter(1979),,838
E,11,E4621,32,N,-10,W,Africa,Morocco,Essaouira - Souss Basin,145,113,Lower,Cretaceous,Berriasian,,Evaporites,,,Ziegler(1988) PL 28,,839
E,12,E4621.1,-20.45,S,14,E,Africa,Namibia,,145,113,Lower,Cretaceous,,L. Jurassic,Eolian Sandstone,Etjo Sandstone,Eolian SS,Mountney et al.(1998),,840
E,13,E4622,17,N,8,E,Africa,Niger,gres d'Agades,145,113,Lower,Cretaceous,,,Evaporites,,Analcime bearing Wealden (Continental Intercalaire),Joulia et al.(1958 1959) ,see also Greigert (1966),841
E,14,E4624,4,N,6,E,Africa,Nigeria,Niger Delta,145,113,Lower,Cretaceous,Aptian,,Evaporites,,Borhole,Peters and Reijers (1987),,842
E,15,E4625,3,N,44,E,Africa,Somalia,south- central Somalia,145,113,Lower,Cretaceous,,,Gypsum,,,Barnes(1976),,843
E,16,E4626,5,N,44,E,Africa,Somalia,,145,113,Lower,Cretaceous,,,Gypsum,Main Gypsum,,Russo et al.(1991),,844
E,17,E4627.1,32.5,N,10,E,Africa,Tunisia,southern,145,113,Lower,Cretaceous,,,Evaporites,Gargasian Evaporite,,Abdallah(1989),,845
E,18,E4629,24,N,10,E,Asia,Arabia,Trucial Coast,145,113,Lower,Cretaceous,,,Evaporites,,,Banner and Wood(1964),,846
E,19,E4630,41,N,108,E,Asia,North China,Wulate Banner,145,113,Lower,Cretaceous,,,Gypsum,Guyang Group,,Compiling Grp of the Regional Stratagraphic Chart of Inner Mongolia(Nei Mongol)(1978),,847
E,20,E4632,43,N,129.5,E,Asia,North China,Yanji,145,113,Lower,Cretaceous,,,Gypsum,Longjing,,Compiling Grp of the Regional Stratagraphic Chart of Jilin(1978),,848
E,21,E4633,23,N,111.5,E,Asia,South China,Luoding,145,113,Lower,Cretaceous,,,Gypsum,,karst gypsum ore,Compiling Grp of the Regional Stratagraphic Chart of central-South China(1974),,849
E,22,E4634,22.5,N,110,E,Asia,South China,Bobai-Yulin,145,113,Lower,Cretaceous,,,Gypsum,Luoding Group,,Compiling Grp of the Regional Stratagraphic Chart of south-Central China(1974),,850
E,23,E4635,22.5,N,109.5,E,Asia,South China,Lingshan,145,113,Lower,Cretaceous,,,Gypsum,Luoding Group,,Compiling Grp of the Regional Stratagraphic Chart of south-Central China(1974),,851
E,24,E4636,31,N,117,E,Asia,South China,Zhongyang,145,113,Lower,Cretaceous,,,Gypsum,Yangwan,gypsiferous siltstone,Wu Qi-qie(1989),,852
E,25,E4637,23,N,119,E,Asia,South China,Jurong,145,113,Lower,Cretaceous,,,Gypsum,Gecun,gypsiferous siltstone,Wu Qi-qie(1989),,853
E,26,E4638,30,N,118,E,Asia,South China,Xuening,145,113,Lower,Cretaceous,,,Gypsum,,,Compiling Grp of the Regional Stratagraphic Chart of Auhui(1978),,854
E,27,E4639,29,N,117,E,Asia,South China,Poyang,145,113,Lower,Cretaceous,,,Gypsum,Zhoujiadian,,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980),,855
E,28,E4640,29.5,N,117,E,Asia,South China,Jingdezhen,145,113,Lower,Cretaceous,,,Gypsum,,,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980),,856
E,29,E4641,25.5,N,116,E,Asia,South China,Huichang,145,113,Lower,Cretaceous,,,Halites,Ganzhou,rock salt and skeletal glaubers salt crystals,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980),,857
E,30,E4642,28,N,118,E,Asia,South China,Chongan,145,113,Lower,Cretaceous,,,Gypsum,Shaxian,also glaubers salt,Compiling Grp of the Regional Stratagraphic Chart of Jiangxi(1980),,858
E,31,E4642.1,32.4,N,119.9,E,Asia,South China,Taizhou,145,113,Lower,Cretaceous,,,Gypsum,Gecun,,Yao-Bo-ping et al.(2000),,859
E,32,E4643,42,N,73,E,Asia,C.I.S.(fmr USSR),Soviet Cental Asia,145,113,Lower,Cretaceous,,,Evaporites,,,Sedletskiy and Dervyagin(1971) ,see also Sedletskii(1969),860
E,33,E4644,43,N,45,E,Asia,C.I.S.(fmr USSR),Northern Caucasus,145,113,Lower,Cretaceous,,,Evaporites,,celestite deposits that are of evaporitic orgin,Baikov et al.(1978),,861
E,34,E4645,11.25,N,78,E,Asia,India,Cauvery Basin,145,113,Lower,Cretaceous,,,Gypsum,Uttatur Group,,Veevers and Tewari(1995  Fig. 6),see also Ranjit et al.  (1996),862
E,35,E4646,36,N,52,E,Asia,Iran,central Alborz,145,113,Lower,Cretaceous,,,Evaporites,Chalus,,Sussli(1976),"see also Allenbach(1966); see also Steiger(1996)  Gips-""Melaphyr"" Formation",863
E,36,E4646.1,37,N,58,E,Asia,Iran,Kopeh-Dagh region of th Alborz,145,113,Lower,Cretaceous,Necomian,,Evaporites,,,Immel et al.(1997),,864
E,37,E4646.2,33,N,54,E,Asia,Iran,,145,113,Lower,Cretaceous,Necomian,,Evaporites,Nogreh,,Perfiliev et al.(1984),,865
E,38,E4647,38.5,N,124,E,Asia,Korea,offshore,145,113,Lower,Cretaceous,,,Evaporites,Red,infered presence of evaporite,Massoud et al.(1991),,866
E,39,E4647.1,35.2,N,129,E,Asia,Korea,,145,113,Lower,Cretaceous,,,Evaporites,Yucheon Group,evaporite molds filled with sediment,Park and Kim(1998),,867
E,40,E4648,43,N,95,E,Asia,Mongolia,(1)western  southern Mongolia(2)w s Mongolia ,145,113,Lower,Cretaceous,(1)Neco (2)Apt-Albian,,Evaporites,,(1)lacustrine(2)lacustrine,Adamenko and Davdova(1982 PL 3 (PL. 4)),,868
E,41,E4649,44,N,103,E,,,,145,113,,,,,Evaporites,,,,,869
E,42,E4649.1,43,N,102,E,Asia,Mongolia,,145,113,Lower,Cretaceous,Aptian-Albian,,Evaporites,Dushuul,,Khand et al.(2000),,870
E,43,E4649.2,33.5,N,36.3,E,Asia,Syria,Damascus region,145,113,Lower,Cretaceous,up through Albian,,Evaporites,,,Wolfart(1966  Tab.3),,871
E,44,E4650,17,N,103,E,Asia,Thailand,northeastern Thailand ,145,113,Lower,Cretaceous,,,Evaporites,,,Hite(1973; see also Hite and Japakasetr 1979),,872
E,45,E4650.1,19,N,100,E,Asia,Thailand,northeastern Thailand ,145,113,Lower,Cretaceous,,L. Jurassic,Evaporites,Sao Khua,,Hite(1973)Buffetaut and Sutehorn(1999),which Racey et al.(1994 Date as L. Jurassic but Buffetaut and Sutehorn(1999)now conclude is L. Cret. ,873
E,46,E4651,-25,S,140,E,Australia,Queensland,Eromanga Basin,145,113,Lower,Cretaceous,,,Evaporites,Rolling Downs Group,check Wells since coal is all around,Wells(1980  p. 91),,874
E,47,E4652,43,N,1,E,Europe,France,Aquitaine,145,113,Lower,Cretaceous,,,Evaporites,Barremian Group,,Cabrit(1971),,875
E,48,E4653,52,N,9,E,Europe,Germany,northwestern Germany  Lower Saxony Basin,145,113,Lower,Cretaceous,,,Evaporites,Barremian Group,,Ziegler(1988 PL. 38),see also Elstner  mutterlose 1996 for a Berriasian coal frm a borehole nr German-Dutch boundary,876
E,49,E4654,49,N,9,E,Europe,Germany,southwestern Germany  Molasse Basin,145,113,Lower,Cretaceous,,,Evaporites,Barremian Group,,Ziegler(1988 PL. 38),,877
E,50,E4655,47,N,28,E,Europe,Rumania,Moldavian and Scythian Platforms,145,113,Lower,Cretaceous,,,Evaporites,Barremian Valanginian Groups,,Grigorescu(1992),,878
E,51,E4655.1,44,N,28,E,,,,145,113,,,,,Evaporites,,,,,879
E,52,E4656,43,N,-5,W,Europe,Spain,Cantabria,145,113,Lower,Cretaceous,,,Evaporites,Berriasian Group,,Ziegler(1988 PL. 27),,880
E,53,E4657,42,N,-3.5,W,Europe,Spain,western Cameros Basin,145,113,Lower,Cretaceous,,,Evaporites,Berriasian Rupelo Group,,Platt(1994),,881
E,54,E4657.2,36.75,N,-4.5,W,,,,145,113,,,,,Evaporites,,,,,882
E,55,E4657.1,51,N,-78,,U. K.,England,northwestern England ,145,113,Lower,Cretaceous,middle Purbeck,end of L. Jurassic age,Evaporites,,,Allen(1998),,883
E,56,E4658,25,N,-78,W,North America,Bahamas,Andros Island,145,113,Lower,Cretaceous,,,Anhydrites,,borehole,Spencer(1967),see also Lidz(1973),884
E,57,E4659,17,N,-88.5,W,North America,Belize,,145,113,Lower,Cretaceous,Aptian-Albian,,Evaporites,,,Claypool et al.(1980  Appendix),,885
E,58,E4660,22,N,-79,W,North America,Cuba,,145,113,Lower,Cretaceous,,,Evaporites,,,Meyerhoff  Hatten(1968),see also Claypool et al.(1980  Appendix),886
E,59,E4661,15,N,-91,W,North America,Guatemala,,145,113,Lower,Cretaceous,Apt- Alb  (Cenomanian?),,Evaporites,,,Claypool et al.(1980  Appendix),,887
E,60,E4662,15.5,N,-91.5,W,North America,Guatemala,Huehuetenango region,145,113,Lower,Cretaceous,,,Evaporites,Ixcoy Limestone,evaporite solution breccias,Blount Moore(1969),,888
E,61,E4663,16,N,-94,W,North America,Chiapas,western Chiapas,145,113,Lower,Cretaceous,,U. Jurassic,Evaporites,,,Blair(1988),,889
E,62,E4667,29,N,-106,W,North America,Chihuahua,,145,113,Lower,Cretaceous,Aptian,,Anhydrites,Cuchillo,,Maldonaldo(1991),,890
E,63,E4665.1,27,N,-102,W,North America,Coahila,,145,113,Lower,Cretaceous,,,Evaporites,,,Salas(1968a),,891
E,64,E4664,16,N,-100,W,North America,Nuevo Leon,,145,113,Lower,Cretaceous,,,Evaporites,,,Salas(1968a),,892
E,65,E4665,23,N,-98,W,North America,Tamaulipas,,145,113,Lower,Cretaceous,,,Evaporites,,,Salas(1968a),see also Wilson(1990),893
E,66,E4668,22,N,-99,W,North America,Tamaulipas,,145,113,Lower,Cretaceous,,,Evaporites,Guaxcama,,Minero(1983 1987),,894
E,67,E4666,2,N,-90,W,North America,Yucatan Peninsula,,145,113,Lower,Cretaceous,Aptian-Albian,,Evaporites,,,Claypool et al.(1980  Appendix),,895
E,68,E4669,31,N,-80,W,North America,United States,East Coast offshore,145,113,Lower,Cretaceous,Valanginian-Albian,,Evaporites,,,Rhodehamel(1979) and Poag and Hall(1979),Poag(1991) revises this to Berriasian-Valanginian,896
E,69,E4669.1,30.5,N,-80.5,W,North America,United States,East Coast offshore,145,113,Lower,Cretaceous,,,Gypsum,,from the COST GE-1 Well,Scholle(1979),,897
E,70,E4670,32,N,-86,W,North America,United States,Alabama,145,113,Lower,Cretaceous,,,Anhydrites,Ferry Lake Anhydrite,,Johnson et al.(1989),,898
E,71,E4670.1,37,N,-109,W,North America,United States,Colorado  Four Corners region,145,113,Upper,Jurassic,,,Evaporites,Morrison(Bushy Mountian Member),evaporitic lakesbeds,Turner Fishman(1991),Mateer et al.(1992) places this member as high(check age) I.e. coal nearby Valanginian as well in the later Jurassic,899
E,72,E4671,27,N,-82,W,North America,United States,Florida  southern Florida,145,113,Lower,Cretaceous,,,Evaporites,Lake Trafford  Sunniland Limestone,,Halley(1985),,900
E,73,E4673,31,N,-90,W,North America,United States,Mississippi,145,113,Lower,Cretaceous,,,Anhydrites, Ferry Lake Anhydrite ,,Johnson et al.(1989),,901
E,74,E4674,29,N,-98,W,North America,United States,Texas  south Texas,145,113,Lower,Cretaceous,,,Evaporites,,,Sheu Burkhart(1982),,902
E,75,E4675,30,N,-95,W,North America,United States,Texas  east Texas,145,113,Lower,Cretaceous,,,Anhydrites,Ferry Lake Anhydrite,,Loucks Longman(1982),,903
E,76,E4676,5,N,-103.5,W,North America,United States,Texas,145,113,Lower,Cretaceous,,,Evaporites,Bissett,trona,Wilcox Rohr(1996),see also Wilcox(1989  pp. 52-55),904
E,77,E4677,-38,S,-70,W,South America,Argentina,Neuquen Province,145,113,Lower,Cretaceous,Tithonian  Berremian,U. Jurassic,Evaporites,,,Benavides(1968  Fig. 6  pp. 268-270),,905
E,78,E4678,-28,S,-70,W,South America,Argentina,southeast Mendoza and Neuquen Province,145,113,Lower,Cretaceous,Berriasian-Aptian,,Gypsum,Huitrin,,Riccardi(1988),,906
E,79,E4678.2,-32,S,-65,W,South America,Argentina,Sierra de Cordoba,145,113,Lower,Cretaceous,,,Evaporites,,,Schmidt et al.(1995),,907
E,80,E4678.4,-30.1,S,-67.5,W,,,,145,113,,,,,Evaporites,,,,,908
E,81,E4678.5,-33,S,-66,W,,,,145,113,,,,,Evaporites,,,,,909
E,82,E4678.3,-47.5,S,-72,W,South America,Argentina,Patagonia,145,113,Lower,Cretaceous,Hauterivian-Barremian,,Evaporites,,,Ottone Aguirre-Urreta(2000),,910
E,83,E4678.6,-35,S,-64,W,,,,145,113,,,,,Evaporites,,,,,911
E,84,E4679,-10,S,-37,W,South America,Brazil,off the  coast from Sergipe ,145,113,Lower,Cretaceous,Aptian,,Evaporites,,,Rona(1982  Table 1),Alagoas Evaporite  Liro Dawson 2000,912
E,85,E4680,-23,S,-42,W,South America,Brazil,south to the Campos Basin,145,113,Lower,Cretaceous,Aptian,,Evaporites,,,Rona(1982  Table 1),,913
E,86,E4681,-25,S,-45,W,South America,Brazil,Sao Paulo Plateau,145,113,Lower,Cretaceous,Aptian,,Evaporites,,,Rona(1982  Table 1),,914
E,87,E4683,-7,S,-40,W,South America,Brazil,,145,113,Lower,Cretaceous,Aptian-Albian,,Evaporites,Santana,lacustrine evaporite,Grimaldi(1990),see also Martill(1993)  Crato and Ipubi formations,915
E,88,E4683.1,-5,S,-45,W,South America,Brazil,,145,113,Lower,Cretaceous,,,Evaporites,,lacustrine evaporite,Rossetti Goes(2000),,916
E,89,E4683.2,-31,S,-50,W,South America,Brazil,Pelotas Basin,145,113,Lower,Cretaceous,Aptian,,Evaporites,,,Coward et al.(1999),Dias et al.  (1994) indicate that the Pelotas Basin evaporite is mostly Neoaptian  Alagoas  which includes vaery early Albian,917
E,90,E4683.14,-14,S,-38,W,,,,145,113,,,,,Evaporites,,,,,918
E,91,E4683.3,-18,S,-46,W,South America,Brazil,,145,113,Lower,Cretaceous,,L. Jurassic,Eolian Sandstone,Botucatu,eolian sandstone,Scherer(2000),,919
E,92,E4683.4,-32,S,-58,W,South America,Brazil,,145,113,Lower,Cretaceous,,L. Jurassic,Eolian Sandstone,Botucatu,eolian sandstone,Scherer(2000),,920
E,93,E4683.5,-22,S,-40,W,South America,Brazil,Campos Basin,145,113,Lower,Cretaceous,,,Evaporites,Lagoa Feia(Retiro Member),,Rangel et al.(1994),,921
E,94,E4683.6,-2,S,-46,W,South America,Brazil,Sao Luis Basin,145,113,Lower,Cretaceous,Neoaptian,,Anhydrites,Codo,anhydrite beds,Lima et al.(1994),,922
E,95,E4683.7,-24,S,-45,W,South America,Brazil,Santos Basin,145,113,Lower,Cretaceous,Neoaptian,,Evaporites,Ariri,,Pereira Feijo(1994),,923
E,96,E4683.8,-4,S,-44,W,South America,Brazil,Parnaiba Basin,145,113,Lower,Cretaceous,Neoaptian,,Anhydrites,Codo,,Goes Feijo(1994),,924
E,97,E4683.9,-13,S,-39,W,South America,Brazil,Camamu and Almada Basins,145,113,Lower,Cretaceous,Aptian,,Evaporites,Taipus-Mirim,,Netto et al.(1994),,925
E,98,E4683.10,-16,S,-39,W,South America,Brazil,Cumuruxatiba and Jequitinhonha Basins,145,113,Lower,Cretaceous,Aptian,,Evaporites,Mariricu(Itaunas Member),,Santos et al.(1994),,926
E,99,E4683.11,-18,S,-40,W,South America,Brazil,Espirito Santo-Mucuri Basins,145,113,Lower,Cretaceous,Aptian,,Evaporites,Mariricu(Itaunas Member),,Vieira et al.(1994),,927
E,100,E4683.12,-28,S,-47,W,South America,Brazil,Pelotas Basin,145,113,Lower,Cretaceous,Neoaptian,,Evaporites,Ariri,,Dias et al.(1994),,928
E,101,E4683.13,-10,S,-37,W,South America,Brazil,Sergipe and Alagoas  Basins,145,113,Lower,Cretaceous,Aptian,,Evaporites,Muribecca(Ibura Member) Maceio(Paripueira Member),,Feijo(1994),,929
E,102,E4684,-27,S,-70,W,South America,Chile,Atacama region of northern Chile,145,113,Lower,Cretaceous,,U. Jurassic,Evaporites,,,Bell(1989),,930
E,103,E4685,-23,S,-70,W,South America,Chile,Antofagasta region,145,113,Lower,Cretaceous,,,Evaporites,Huaterivian Barremian Pular Colo,,Benavides(1968  Fig. 6  pp. 268-270),,931
E,104,E4686,-35,S,-71,W,South America,Chile,,145,113,Lower,Cretaceous,"""Neocomian""-Aptian or ?",,Evaporites,Albian Colimapu,,Riccardi(1988),,932
E,105,E4688,-27.5,S,-6.5,W,South America,Chile,,145,113,Lower,Cretaceous,Neocomian,,Evaporites,,,Bell Padian(1995),,933
E,106,E4689,4,N,-74,W,South America,Columbia,Bogota region,145,113,Lower,Cretaceous,Berr-Valang; Berr-Apt,,Evaporites,,,McLaughlin(1972),,934
E,107,E4690,5.5,N,-73,W,South America,Columbia,Tunja region,145,113,Lower,Cretaceous,Hauterivian,,Gypsum,,,Serna(1968),,935
E,108,E4691,-0.5,S,-77,W,South America,Ecuador,,145,113,Lower,Cretaceous,,U. Jurassic,Evaporites,Chapiza,,Canfield et al.(1982),,936
E,109,E4692,3,N,-60,W,South America,Guyana,Takutu Graben,145,113,Lower,Cretaceous,Neocomian,,Evaporites,Takutu,,Gibbs Barron(1993),see van der Hammen and Burger(1996),937
E,110,E4693,-15,S,-72,W,South America,Peru,southern Peru,145,113,Lower,Cretaceous,Valanginian,,Limestone,Santa Limestone,,Benavides(1968  Fig. 6  pp. 268-270),,938
E,111,E4694,10.5,N,-61.3,W,South America,Trinidad,,145,113,Lower,Cretaceous,,,Evaporites,,,Claypool et al.(1980  Appendix),,939
E,112,E4695,10,N,-69,W,South America,Venezuela,Sierra de Aroa Yaracuy Prov. Macuro Sucre Prov.,145,113,Lower,Cretaceous,,,Evaporites,,,Claypool et al.(1980  Appendix),,940
E,113,E4695.1,10,N,-64,W,,,,145,113,,,,,Evaporites,,,,,941
